"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"安徽",2001,359.59,893.37,2739,6128,5716.05744125326
"北京",2001,399.94,1513.32,9057,1385,27880.8664259928
"福建",2001,439.19,1172.91,4770,3445,11822.641509434
"甘肃",2001,306.09,460.37,2099,2523,4460.56282203726
"广东",2001,1458.42,3484.43,5445,8733,13885.9498454139
"广西",2001,331.92,655.63,2572,4788,4760.44277360067
"贵州",2001,335.19,536.01,2178,3799,2983.15346143722
"海南",2001,42.96,213.32,2971,796,7276.38190954774
"河北",2001,867.55,1912.53,2749,6699,7557.69517838483
"河南",2001,808.41,1544.06,2381,9555,5790.68550497122
"黑龙江",2001,456.86,963.58,3333,3811,7985.83049068486
"湖北",2001,526.02,1486.55,2962,5658,6858.43054082715
"湖南",2001,439.78,1174.3,3242,6596,5809.42995755003
"吉林",2001,295.08,701.7,3651,2691,7063.91675956893
"江苏",2001,1078.44,2823.2,4123,7359,12850.6590569371
"江西",2001,222.28,631.84,2500,4186,5197.56330625896
"辽宁",2001,764.77,1421.19,4789,4194,12000.7153075823
"内蒙古",2001,280.89,503.63,2868,2381,7197.81604367913
"宁夏",2001,151.81,191.08,2611,563,5992.89520426288
"青海",2001,111.9,196.35,2598,523,5738.04971319312
"山东",2001,1104.53,2788.68,3726,9041,10038.933746267
"山西",2001,557.58,663.58,2180,3272,6202.62836185819
"陕西",2001,321.54,773.43,2857,3653,5503.96934026827
"上海",2001,592.98,2004.64,11660,1668,31520.9832134293
"四川",2001,589.57,1617.52,2707,8143,5272.62679602112
"天津",2001,247.94,705,6763,1004,17499.0039840637
"西藏",2001,NA,83.26,1937,264,5272.72727272727
"新疆",2001,197.92,706,2882,1876,7950.95948827292
"云南",2001,320.75,738.45,2256,4287,5036.15581992069
"浙江",2001,848.4,2834.94,5551,4729,14649.3973355889
"重庆",2001,220.54,697.03,2937,2829,7121.24425592082
"安徽",2002,389.94,1074.46,2988,6144,6229.98046875
"北京",2002,439.96,1796.14,10882,1423,31803.9353478566
"福建",2002,496.83,1253.08,5076,3476,12852.7042577675
"甘肃",2002,339.66,526.21,2301,2531,4867.64124851837
"广东",2002,1687.83,3850.78,6199,8842,15383.2843248134
"广西",2002,356.95,750.33,2755,4822,5233.72044794691
"贵州",2002,366.63,632.97,2337,3837,3240.55251498567
"海南",2002,49,225.41,3233,803,8003.73599003736
"河北",2002,965.83,2020.38,3081,6735,8194.35783221975
"河南",2002,916.25,1725.93,2553,9613,6278.47706231145
"黑龙江",2002,468.45,1046.17,3516,3813,8504.32730133753
"湖北",2002,561.96,1605.06,3263,5672,7427.36248236953
"湖南",2002,477.49,1347.96,3366,6629,6262.63388143008
"吉林",2002,306.29,834.23,3869,2699,7569.84068173398
"江苏",2002,1245.14,3450.12,4708,7406,14322.0361868755
"江西",2002,246.57,889.04,2651,4222,5804.1212695405
"辽宁",2002,809.45,1605.55,5095,4203,12986.4382583869
"内蒙古",2002,320.43,707.91,3341,2384,8141.35906040268
"宁夏",2002,178.76,226.98,2873,572,6594.4055944056
"青海",2002,125.51,232.35,2828,529,6440.45368620038
"山东",2002,1241.74,3483.31,3924,9082,11095.0231226602
"山西",2002,628.82,813.36,2720,3294,7057.68063145112
"陕西",2002,355.97,915.35,3093,3662,6153.46805024577
"上海",2002,645.71,2213.72,12627,1713,33829.5388207823
"四川",2002,660.51,1902.72,2914,8110,5826.14056720099
"天津",2002,274.39,807.51,7120,1007,19135.0546176763
"西藏",2002,NA,106.58,2304,268,6044.77611940299
"新疆",2002,214.6,800.09,3150,1905,8465.09186351706
"云南",2002,353.2,814.61,2463,4333,5443.57258250635
"浙江",2002,1010.72,3477.47,6098,4776,16835.6365159129
"重庆",2002,248.01,899.26,3204,2814,8101.63468372424
"安徽",2003,445.44,1418.69,3312,6163,6989.77770566283
"北京",2003,461.24,2169.26,12014,1456,36175.8241758242
"福建",2003,585.35,1496.37,5524,3502,14276.4134780126
"甘肃",2003,398.33,619.82,2592,2537,5517.93456838786
"广东",2003,2031.29,4813.2,7342,8963,17828.628807319
"广西",2003,414.93,921.3,2974,4857,5761.16944616018
"贵州",2003,551.07,748.12,2502,3870,3692.50645994832
"海南",2003,59.3,280.02,3485,811,8803.9457459926
